"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","1555274","Rui  Wang and Nagarajan  Kandasamy","","","","A Distributed Control Framework for Performance Management of Virtualized Computing Environments: Some Preliminary Results","7--12","","6","distributed control, performance management, virtualization","10.1145/1555271.1555274","","","","","","","2009","","Proceedings of the 1st Workshop on Automated Control for Datacenters and Clouds","ACDC '09","","978-1-60558-585-7","Barcelona, Spain","ACM","New York, NY, USA"
"article","1980335","S.  Maitra and P. K. Mudholkar","","","","Cloud Computing and Its Applications","1360--1360","","1","","10.1145/1980022.1980335","","","","","","","2011","","Proceedings of the International Conference &#38; Workshop on Emerging Trends in Technology","ICWET '11","","978-1-4503-0449-8","Mumbai, Maharashtra, India","ACM","New York, NY, USA"
"article","3129262","Changyeon  Jo and Youngsu  Cho and Bernhard  Egger","","","","A Machine Learning Approach to Live Migration Modeling","351--364","","14","live migration, machine learning, performance modeling, virtualization","10.1145/3127479.3129262","","","","","","","2017","","Proceedings of the 2017 Symposium on Cloud Computing","SoCC '17","","978-1-4503-5028-0","Santa Clara, California","ACM","New York, NY, USA"
"article","1851576","Raoul  Rivas and Ahsan  Arefin and Klara  Nahrstedt","","","","Janus: A Cross-layer Soft Real-time Architecture for Virtualization","676--683","","8","QoS, Xen, operating systems, scheduling, virtualization","10.1145/1851476.1851576","","","","","","","2010","","Proceedings of the 19th ACM International Symposium on High Performance Distributed Computing","HPDC '10","","978-1-60558-942-8","Chicago, Illinois","ACM","New York, NY, USA"
"article","1996077","Ercan  Ucan and Timothy  Roscoe","","","","Dexferizer: A Service for Data Transfer Optimization","33:1--33:9","33","9","","","","","","","","","2011","","Proceedings of the Nineteenth International Workshop on Quality of Service","IWQoS '11","","","San Jose, California","IEEE Press","Piscataway, NJ, USA"
"article","1773396","Ramesh  Illikkal and Vineet  Chadha and Andrew  Herdrich and Ravi  Iyer and Donald  Newell","","","","PIRATE: QoS and Performance Management in CMP Architectures","3--10","","8","clock modulation, frequency scaling, integral controller, proportional","10.1145/1773394.1773396","SIGMETRICS Perform. Eval. Rev.","March 2010","37","4","","March","2010","0163-5999","","","","","","ACM","New York, NY, USA"
"article","3164608","Dinh-Mao  Bui and Eui-Nam  Huh and Sungyoung  Lee","","","","Optimizing Power Consumption in Cloud Computing Based on Optimization and Predictive Analysis","93:1--93:6","93","6","Cloud Computing, Convex Optimization, Energy Efficiency, IaaS, Predictive Analysis","10.1145/3164541.3164608","","","","","","","2018","","Proceedings of the 12th International Conference on Ubiquitous Information Management and Communication","IMCOM '18","","978-1-4503-6385-3","Langkawi, Malaysia","ACM","New York, NY, USA"
"article","2462313","Kiril  Schr&#246;der and Wolfgang  Nebel","","","","Behavioral Model for Cloud Aware Load and Power Management","19--26","","8","cloud computing, energy efficiency, modeling, resource allocation, virtualization","10.1145/2462307.2462313","","","","","","","2013","","Proceedings of the 2013 International Workshop on Hot Topics in Cloud Services","HotTopiCS '13","","978-1-4503-2051-1","Prague, Czech Republic","ACM","New York, NY, USA"
"article","376808","James C. Pang and Gholamali C. Shoja and Eric G. Manning","","","","Providing Soft Real-time QoS Guarantees for Java Threads","39--47","","9","","10.1145/376656.376808","","","","","","","2001","","Proceedings of the 2001 Joint ACM-ISCOPE Conference on Java Grande","JGI '01","","1-58113-359-6","Palo Alto, California, USA","ACM","New York, NY, USA"
"article","2330764","Jinho  Hwang and Timothy  Wood","","","","Adaptive Dynamic Priority Scheduling for Virtual Desktop Infrastructures","16:1--16:9","16","9","Xen, cloud computing, desktop virtualization, scheduler, virtual desktop infrastructure","","","","","","","","2012","","Proceedings of the 2012 IEEE 20th International Workshop on Quality of Service","IWQoS '12","","978-1-4673-1298-1","Coimbra, Portugal","IEEE Press","Piscataway, NJ, USA"
"article","1564622","Hien  Nguyen Van and Frederic  Dang Tran and Jean-Marc  Menaud","","","","Autonomic Virtual Resource Management for Service Hosting Platforms","1--8","","8","","10.1109/CLOUD.2009.5071526","","","","","","","2009","","Proceedings of the 2009 ICSE Workshop on Software Engineering Challenges of Cloud Computing","CLOUD '09","","978-1-4244-3713-9","","IEEE Computer Society","Washington, DC, USA"
"article","2330759","Haiyang  Wang and Ryan  Shea and Feng  Wang and Jiangchuan  Liu","","","","On the Impact of Virtualization on Dropbox-like Cloud File Storage/Synchronization Services","11:1--11:9","11","9","","","","","","","","","2012","","Proceedings of the 2012 IEEE 20th International Workshop on Quality of Service","IWQoS '12","","978-1-4673-1298-1","Coimbra, Portugal","IEEE Press","Piscataway, NJ, USA"
"article","2151030","Hui  Lv and Yaozu  Dong and Jiangang  Duan and Kevin  Tian","","","","Virtualization Challenges: A View from Server Consolidation Perspective","15--26","","12","performance optimization, scheduler, server consolidation, specvirt_sc2010, virtualization","10.1145/2365864.2151030","SIGPLAN Not.","July 2012","47","7","","March","2012","0362-1340","","","","","","ACM","New York, NY, USA"
"article","2151030","Hui  Lv and Yaozu  Dong and Jiangang  Duan and Kevin  Tian","","","","Virtualization Challenges: A View from Server Consolidation Perspective","15--26","","12","performance optimization, scheduler, server consolidation, specvirt_sc2010, virtualization","10.1145/2151024.2151030","","","","","","","2012","","Proceedings of the 8th ACM SIGPLAN/SIGOPS Conference on Virtual Execution Environments","VEE '12","","978-1-4503-1176-2","London, England, UK","ACM","New York, NY, USA"
"article","1656078","Seung-Min  Han and Mohammad Mehedi Hassan and Chang-Woo  Yoon and Eui-Nam  Huh","","","","Efficient Service Recommendation System for Cloud Computing Market","839--845","","7","cloud market, cloud service, recommendation system, service selection","10.1145/1655925.1656078","","","","","","","2009","","Proceedings of the 2Nd International Conference on Interaction Sciences: Information Technology, Culture and Human","ICIS '09","","978-1-60558-710-3","Seoul, Korea","ACM","New York, NY, USA"
"article","1375806","Ying  Song and Hui  Wang and Yaqiong  Li and Yuzhong  Sun and Yu  Zeng","","","","Can VoD Streaming Service Co-exist with Other Services on a VM-based Virtualized Computing Platform?","95--103","","9","VoD, interaction, virtualized computing platform","10.1145/1375783.1375806","","","","","","","2007","","Proceedings of the 2007 Asian Technology Information Program's (ATIP's) 3rd Workshop on High Performance Computing in China: Solution Approaches to Impediments for High Performance Computing","CHINA HPC '07","","978-1-59593-903-6","Reno, Nevada","ACM","New York, NY, USA"
"article","2933275","Joel  Nider and Mike  Rapoport","","","","Cross-ISA Container Migration","24:1--24:1","24","1","cloud computing, containers, heterogeneous architecture, power efficiency","10.1145/2928275.2933275","","","","","","","2016","","Proceedings of the 9th ACM International on Systems and Storage Conference","SYSTOR '16","","978-1-4503-4381-7","Haifa, Israel","ACM","New York, NY, USA"
"article","3129497","Kejiang  Ye","","","","Anomaly Detection in Clouds: Challenges and Practice","6:1--6:2","6","2","","10.1145/3129457.3129497","","","","","","","2017","","Proceedings of the First Workshop on Emerging Technologies for Software-defined and Reconfigurable Hardware-accelerated Cloud Datacenters","ETCD'17","","978-1-4503-4923-9","Xi'an, China","ACM","New York, NY, USA"
"article","2555723","Yue  Gao and Yanzhi  Wang and Sandeep K. Gupta and Massoud  Pedram","","","","An Energy and Deadline Aware Resource Provisioning, Scheduling and Optimization Framework for Cloud Systems","31:1--31:10","31","10","","","","","","","","","2013","","Proceedings of the Ninth IEEE/ACM/IFIP International Conference on Hardware/Software Codesign and System Synthesis","CODES+ISSS '13","","978-1-4799-1417-3","Montreal, Quebec, Canada","IEEE Press","Piscataway, NJ, USA"
"article","3049903","Andreas  Bergen and Nina  Taherimakhsousi","","","","Software Energy Optimization in the Cloud","243--249","","7","ACM proceedings, LaTeX, text tagging","","","","","","","","2016","","Proceedings of the 26th Annual International Conference on Computer Science and Software Engineering","CASCON '16","","","Toronto, Ontario, Canada","IBM Corp.","Riverton, NJ, USA"
"article","3148778","Vincenzo  Eramo and Emanuele  Miucci and Mostafa  Ammar and Francesco Giacinto Lavacca","","","","An Approach for Service Function Chain Routing and Virtual Function Network Instance Migration in Network Function Virtualization Architectures","2008--2025","","18","","10.1109/TNET.2017.2668470","IEEE/ACM Trans. Netw.","August 2017","25","4","","August","2017","1063-6692","","","","","","IEEE Press","Piscataway, NJ, USA"
"article","2093960","Marin  Litoiu and Gabriel  Iszlai and Brad  Simmons","","","","The 5th International Workshop on Cloud Computing","380--380","","1","","","","","","","","","2011","","Proceedings of the 2011 Conference of the Center for Advanced Studies on Collaborative Research","CASCON '11","","","Toronto, Ontario, Canada","IBM Corp.","Riverton, NJ, USA"
"article","3025129","A.  Bagley and G.  Fehringer and N.  Jin and S  Cammish","","","","Live Video Transmission over Data Distribution Service with Existing Low-power Platforms","81:1--81:5","81","5","DDS performance, android, data distribution service, live video, middleware, raspberry pi","10.1145/3018896.3025129","","","","","","","2017","","Proceedings of the Second International Conference on Internet of Things, Data and Cloud Computing","ICC '17","","978-1-4503-4774-7","Cambridge, United Kingdom","ACM","New York, NY, USA"
"article","2745865","Robert  Birke and Mathias  Bj&#246;rkqvist and Cyriel  Minkenberg and Martin  Schmatz and Lydia Y. Chen","","","","When Virtual Meets Physical at the Edge: A Field Study on Datacenters' Virtual Traffic","403--415","","13","bandwidth demand, datacenter, growth, migration, virtual traffic","10.1145/2796314.2745865","SIGMETRICS Perform. Eval. Rev.","June 2015","43","1","","June","2015","0163-5999","","","","","","ACM","New York, NY, USA"
"article","2745865","Robert  Birke and Mathias  Bj&#246;rkqvist and Cyriel  Minkenberg and Martin  Schmatz and Lydia Y. Chen","","","","When Virtual Meets Physical at the Edge: A Field Study on Datacenters' Virtual Traffic","403--415","","13","bandwidth demand, datacenter, growth, migration, virtual traffic","10.1145/2745844.2745865","","","","","","","2015","","Proceedings of the 2015 ACM SIGMETRICS International Conference on Measurement and Modeling of Computer Systems","SIGMETRICS '15","","978-1-4503-3486-0","Portland, Oregon, USA","ACM","New York, NY, USA"
"article","1851536","Hyunjoo  Kim and Yaakoub  el-Khamra and Shantenu  Jha and Manish  Parashar","","","","Exploring Application and Infrastructure Adaptation on Hybrid Grid-cloud Infrastructure","402--412","","11","cloud computing, hybrid computing","10.1145/1851476.1851536","","","","","","","2010","","Proceedings of the 19th ACM International Symposium on High Performance Distributed Computing","HPDC '10","","978-1-60558-942-8","Chicago, Illinois","ACM","New York, NY, USA"
"article","3041036","Maria A. Rodriguez and Rajkumar  Buyya","","","","Budget-Driven Scheduling of Scientific Workflows in IaaS Clouds with Fine-Grained Billing Periods","5:1--5:22","5","22","Budget, IaaS cloud, makespan minimisation, resource provisioning, scheduling, scientific workflow","10.1145/3041036","ACM Trans. Auton. Adapt. Syst.","May 2017","12","2","","May","2017","1556-4665","","","","","","ACM","New York, NY, USA"
