Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Towards an inter-Cloud architecture in healthcare system,A. Ouardi; A. Sekkaki; D. Mammass,"Computer Science Department, IRF-SIC Laboratory, Faculty of Science, Ibn Zohr, University, Agadir- Morocco; Computer Science Department, Laboratory for research and computer, science innovation, Faculty of Science, Ain Chock, Hassan II University, Casablanca- Morocco; Computer Science Department, IRF-SIC Laboratory, Faculty of Science, Ibn Zohr, University, Agadir- Morocco","2017 International Symposium on Networks, Computers and Communications (ISNCC)",,2017,,,1,6,"The Moroccan health sector is now inspired by other industries to take advantage of the benefit of cloud computing in terms of cost and flexibility, without compromising data security. Indeed, the medical field has an exponential number of data that requires a developed infrastructure and a very high storage and archiving capacity, so the process of processing the patient's information is slow and can return erroneous results. Considering the increasing demands placed on healthcare providers for infrastructure, systems and support, cloud computing technology can greatly improve the level of healthcare services; it will be the appropriate solution to meet the needs for care coordination, collaboration and communication between the different actors (doctors, patients, administrators, developers...) in the health field. In order to implement the project “family health book”, we need an architecture model that will be based on cloud computing while offering QoS (Quality of Service) required, to meet this need, we suggest in this article a solution based on the use of a cloud broker open source in an inter-cloud environment, in order to allow the technological renewal of our infrastructure while reducing both the time of access to the services requested by the users, the dissipation of the energy and the number of datacenters installed. Evaluation results demonstrated that our architecture has achieved good performances.",,978-1-5090-4260-9978-1-5090-4259-3978-1-5090-4261,10.1109/ISNCC.2017.8071986,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8071986,Cloud Computing;Cloud Broker;Data Center;VM Migration;Interoperability;CompatibleOne;CloudSim,Cloud computing;Computer architecture;Quality of service;Virtual machining;Resource management;Computational modeling,cloud computing;health care;medical computing;quality of service;security of data,family health book;datacenters;inter-cloud environment;cloud broker open source;architecture model;care coordination;healthcare services;cloud computing technology;archiving capacity;medical field;data security;Moroccan health sector;healthcare system;inter-Cloud architecture,,,,38,,,,,,IEEE,IEEE Conferences
Dynamic optimization of virtual machine placement by resource usage prediction,K. Sato; M. Samejima; N. Komoda,"Graduate School of Information Science and Technology, Osaka University, 2-1, Yamadaoka Suita, 565-0871, Japan; Graduate School of Information Science and Technology, Osaka University, 2-1, Yamadaoka Suita, 565-0871, Japan; Graduate School of Information Science and Technology, Osaka University, 2-1, Yamadaoka Suita, 565-0871, Japan",2013 11th IEEE International Conference on Industrial Informatics (INDIN),,2013,,,86,91,"In order to save energy with preventing the lack of the resources on servers in data centers, we address the dynamic optimization of virtual machine placement. A decision problem of the virtual machine placement has been formulated as Bin Packing problem. Conventional methods repeat to solve the problem at regular intervals. Live migration is used for changing the virtual machine placement, but some of live migrations are unnecessary; the virtual machine is migrated repeatedly between the physical servers. For the purpose of reducing the unnecessary live migrations, we propose a dynamic optimization of virtual machine placement by resource usage prediction. The proposed method predicts the future resource usage by Auto Regressive Model. The proposed method decides the virtual machine placement by solving the Bin Packing problem with the predicted resource usage.",1935-4576;2378-363X,978-1-4799-0752,10.1109/INDIN.2013.6622863,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6622863,,Quality of service;Random access memory;Virtual machining;Schedules;Programming,autoregressive processes;bin packing;computer centres;dynamic programming;prediction theory;resource allocation;virtual machines,dynamic optimization;virtual machine placement;resource usage prediction;data centers;decision problem;bin packing problem;live migrations;physical servers;autoregressive model,,9,,16,,,,,,IEEE,IEEE Conferences
Selection process approaches in live migration: A comparative study,S. B. Melhem; A. Agarwal; N. Goel; M. Zaman,"Department of Electrical and Computer Engineering Concordia University, Montreal, Canada; Department of Electrical and Computer Engineering Concordia University, Montreal, Canada; Cistech Limited, Ottawa, Canada; Cistech Limited, Ottawa, Canada",2017 8th International Conference on Information and Communication Systems (ICICS),,2017,,,23,28,"Live virtual machine (VM) migration is defined as a technique that migrates the entire operating system (OS) and its associated applications from one host/physical server to another providing that users should not notice any interruption in their services. Live VM migration plays an important role to facilitate online maintenance, load balancing, and energy management as part of resource management. Live VM migration can be divided into two parts: 1) selection process which involves three different phases: when to trigger the migration, which VMs must be selected to be migrated, and which destination host must be chosen to move the selected VMs. 2) migration process that targets moving the VM in minimum time to avoid any interruption of services. In this paper, we present a comparative study of selection approaches used in the live VM migration technique.",,978-1-5090-4243-2978-1-5090-4244,10.1109/IACS.2017.7921940,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7921940,Live Migration;Quality of Service (QoS);Virtualization;LAN migration;WAN Migration,Heuristic algorithms;Prediction algorithms;Clustering algorithms;Correlation;Servers;Algorithm design and analysis;Inference algorithms,operating systems (computers);resource allocation;virtual machines,selection process approach;live virtual machine migration;operating system;host server;physical server;online maintenance;load balancing;energy management;resource management;migration process;service interruption,,3,,28,,,,,,IEEE,IEEE Conferences
Cooperative transmission meets computation provisioning in downlink C-RAN,K. Guo; M. Sheng; J. Tang; T. Q. S. Quek; X. Wang; Z. Qiu,"State Key Lab of ISN, Information Science Institute, Xidian University, Xi'an, Shaanxi, 710071, China; State Key Lab of ISN, Information Science Institute, Xidian University, Xi'an, Shaanxi, 710071, China; Singapore University of Technology and Design, 8 Somapah Rd, Singapore 487372; Singapore University of Technology and Design, 8 Somapah Rd, Singapore 487372; State Key Lab of ISN, Information Science Institute, Xidian University, Xi'an, Shaanxi, 710071, China; State Key Lab of ISN, Information Science Institute, Xidian University, Xi'an, Shaanxi, 710071, China",2016 IEEE International Conference on Communications (ICC),,2016,,,1,6,"Cloud radio access network (C-RAN), regarded as a promising green network architecture, facilitates cooperative transmission among remote radio heads (RRHs) while enabling flexible computation provisioning in the virtualized baseband unit pool. By jointly optimizing cooperative transmission, i.e., transmit power allocation with zero-forcing precoding adopted, and computation provisioning, i.e., virtual machine assignment, this paper minimizes the system power consumption comprised of transmit power and processing power in downlink C-RAN. Specifically, subject to per-RRH power constraint (PRPC) and per-MU quality of service constraint, the system power consumption minimization problem is formulated as a mixed integer nonlinear programming (MINLP) problem. To solve the challenging MINLP, we reformulate the MINLP as a minimum weight perfect matching problem to get the initial solution without considering the PRPC. On this basis, a power-aware greedy algorithm is further devised to modify the solution such that the PRPC is satisfied. Finally, extensive simulations show the superiority of the proposed scheme on system power saving and the tradeoff between transmit power and processing power.",1938-1883,978-1-4799-6664-6978-1-4799-6665,10.1109/ICC.2016.7511262,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7511262,,Power demand;Precoding;Quality of service;Wireless communication;Downlink;Baseband;Interference,cooperative communication;integer programming;nonlinear programming;precoding;radio access networks;telecommunication power management;virtualisation,cooperative transmission;computation provisioning;downlink C-RAN;cloud radio access network;green network architecture;virtualized baseband unit pool;transmit power allocation;zero forcing precoding;virtual machine assignment;power consumption minimization problem;mixed integer nonlinear programming,,9,,19,,,,,,IEEE,IEEE Conferences
Green intelligence for cloud data centers,C. Karthik; M. Sharma; K. Maurya; K. Chandrasekaran,"Dept. of Computer Science and Engineering, NITK Surathkal, India; Dept. of Computer Science and Engineering, NITK Surathkal, India; Dept. of Computer Science and Engineering, NITK Surathkal, India; Dept. of Computer Science and Engineering, NITK Surathkal, India",2016 3rd International Conference on Recent Advances in Information Technology (RAIT),,2016,,,591,597,In this paper the problem of energy consumption by large data centers has been tackled. Power consumption is major problem from both economic and environmental point of view. One of the main components of data centers is virtualization. We have addressed the problem of Virtual Machine (VM) consolidation in the data center servers using the technique of Bin Completion. Bin Completion is basically an artificial intelligence based algorithm used for bin packing problem. We have scaled up and modified the algorithm to fit our problem statement of VM consolidation and analysed the results obtained against Best Fit algorithm. After that we did an extensive study of the application of machine learning algorithms for the purpose of CPU utilisation prediction and analysed its effects on the overall energy consumption of a data center as well as the SLA violations.,,978-1-4799-8579-1978-1-4799-8580,10.1109/RAIT.2016.7507965,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7507965,,Lead,bin packing;cloud computing;computer centres;contracts;file servers;green computing;learning (artificial intelligence);power consumption;virtual machines;virtualisation,green intelligence;cloud data centers;energy consumption;power consumption;virtualization;virtual machine consolidation;VM consolidation;data center servers;bin completion;artificial intelligence based algorithm;best fit algorithm;machine learning algorithms;CPU utilisation prediction;SLA violations,,2,,24,,,,,,IEEE,IEEE Conferences
Dynamic SLA management with forecasting using multi-objective optimization,A. Antonescu; P. Robinson; T. Braun,"SAP Research, SAP (Switzerland) Inc., Althardstrasse 80, 8105 Regensdorf, Switzerland, SAP (UK) Limited, The Concourse, Queen's Road, Queen's Island, Titanic Quarter, Belfast BT3 9DT, UK; SAP Research, SAP (Switzerland) Inc., Althardstrasse 80, 8105 Regensdorf, Switzerland, SAP (UK) Limited, The Concourse, Queen's Road, Queen's Island, Titanic Quarter, Belfast BT3 9DT, UK; Communication and Distributed Systems (CDS) Research Group, University of Bern, Neubrueckstrasse 10, 3012 Bern, Switzerland",2013 IFIP/IEEE International Symposium on Integrated Network Management (IM 2013),,2013,,,457,463,"Cost-efficient operation while satisfying performance and availability guarantees in Service Level Agreements (SLAs) is a challenge for Cloud Computing, as these are potentially conflicting objectives. We present a framework for SLA management based on multi-objective optimization. The framework features a forecasting model for determining the best virtual machine-to-host allocation given the need to minimize SLA violations, energy consumption and resource wasting. A comprehensive SLA management solution is proposed that uses event processing for monitoring and enables dynamic provisioning of virtual machines onto the physical infrastructure. We validated our implementation against serveral standard heuristics and were able to show that our approach is significantly better.",1573-0077,978-3-901882-50-0978-1-4673-5229,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6573018,,Resource management;Monitoring;Servers;Sociology;Statistics;Forecasting;Biological cells,cloud computing;contracts;forecasting theory;operating systems (computers);optimisation;virtual machines,dynamic SLA management;multiobjective optimization forecasting;cost efficient operation;service level agreements;cloud computing;virtual machine-to-host allocation;energy consumption;resource wasting,,4,,32,,,,,,IEEE,IEEE Conferences
Utility analysis for Internet-oriented server consolidation in VM-based data centers,Y. Song; Y. Zhang; Y. Sun; W. Shi,"Key Laboratory of Computer System and Architecture, Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China; Key Laboratory of Computer System and Architecture, Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China; Key Laboratory of Computer System and Architecture, Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China; Wayne State University, Detroit, USA",2009 IEEE International Conference on Cluster Computing and Workshops,,2009,,,1,10,"Server consolidation based on virtualization technology will simplify system administration, reduce the cost of power and physical infrastructure, and improve utilization in today's Internet-service-oriented enterprise data centers. How much power and how many servers for the underlying physical infrastructure are saved via server consolidation in VM-based data centers is of great interest to administrators and designers of those data centers. Various workload consolidations differ in saving power and physical servers for the infrastructure. The impacts caused by virtualization to those concurrent services are fluctuating considerably which may have a great effect on server consolidation. This paper proposes a utility analytic model for Internet-oriented server consolidation in VM-based data centers, modelling the interaction between server arrival requests with several QoS requirements, and capability flowing amongst concurrent services, based on the queuing theory. According to features of those services' workloads, this model can provide the upper bound of consolidated physical servers needed to guarantee QoS with the same loss probability of requests as in dedicated servers. At the same time, it can also evaluate the server consolidation in terms of power and utility of physical servers. Finally, we verify the model via a case study comprised of one e-book database service and one e-commerce Web service, simulated respectively by TPC-W and SPECweb2005 benchmarks. Our experiments show that the model is simple but accurate enough. The VM-based server consolidation saves up to 50% physical infrastructure, up to 53% power, and improves 1.7 times in CPU resource utilization, without any degradation of concurrent services' performance, running on Rainbow - our virtual computing platform.",1552-5244;2168-9253,978-1-4244-5011-4978-1-4244-5012,10.1109/CLUSTR.2009.5289190,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5289190,utility analysis;server consolidation;model,Web server;Costs;Web and internet services;Queueing analysis;Upper bound;Databases;Web services;Resource management;Degradation;Concurrent computing,computer centres;software architecture;virtual machines;Web services,utility analysis;Internet-oriented server consolidation;virtualization technology;VM-based data centers;server consolidation;Internet-service-oriented enterprise data centers;utility analytic model;server arrival requests;QoS requirements;queuing theory;e-book database service;e-commerce Web service;SPECweb2005 benchmarks;TPC-W benchmarks;CPU resource utilization;virtual computing platform,,15,,43,,,,,,IEEE,IEEE Conferences
Inter-VM Interference in Cloud Environments: A Survey,S. Amri; H. Hamdi; Z. Brahmi,NA; NA; NA,2017 IEEE/ACS 14th International Conference on Computer Systems and Applications (AICCSA),,2017,,,154,159,"Cloud Computing paradigm has been a trend in the computational world. Thus, many service providers today are competing to enhance their features and attract more customers as they are offering them a bunch of services through a pay-asyou-go pricing model. However, despite their huge fame, cloud environments still suffer from some issues that are being studied by researchers from various perspectives. One of the controversial cloud issues nowadays is interference among virtual machines (VMs) sharing the same hardware platform called also physical machine (PM). This problem occurs due to contention on shared resources between co-hosted VMs which results in performance degradation. Resource contention happens when demand for shared resources exceeds the supply due to VMs cohosting. The co-hosting of VMs on the same PM, emerges from the ambition of server consolidation that cloud providers aim to reach in order to improve power efficiency and optimize resource utilization. Therefore, the key factor of successful server consolidation is to minimize performance interference among colocated VMs. In this paper, we are going to reveal the interference issue as well as its major cause, survey existing researchers' visions to detect and/or predict such issue and exhibit a comparative study between them. Then we will reveal some challenging points that require further consideration. Our comparative study may be helpful for people aiming to be involved in cloud environments research field, as it gathers different existing approaches dealing with performance interference detection and prediction in cloud environments.",2161-5330,978-1-5386-3581-0978-1-5386-3582,10.1109/AICCSA.2017.122,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8308278,cloud computing;virtualization;physical machine (PM);performance interference;resource utilization;SLA violation,Interference;Cloud computing;Virtualization;Servers;Measurement;Hardware;Degradation,cloud computing;virtual machines;virtualisation,co-hosted VMs;resource contention;interference issue;performance interference detection;virtual machines;physical machine;shared resource contention;optimized resource utilization;server consolidation;cloud computing paradigm;interVM interference;VM cohosting;colocated VM,,1,,27,,,,,,IEEE,IEEE Conferences
Modeling of I/O Performance Interference in Virtualized Environments with Queueing Petri Nets,Q. Noorshams; K. Rostami; S. Kounev; R. Reussner,NA; NA; NA; NA,"2014 IEEE 22nd International Symposium on Modelling, Analysis & Simulation of Computer and Telecommunication Systems",,2014,,,331,336,"Virtualization technology allows to share the physical resources used in IT infrastructures for efficient and flexible system operation. Sharing of physical resources, however, comes usually at the cost of performance and poses significant challenges to respect the Quality-of-Service of consolidated data-intensive applications due to the mutual performance interference among the applications. The non-trivial impact of workload consolidation on the I/O performance can be anticipated using explicit performance analysis techniques. In current practice, however, explicit modeling of I/O performance interference effects in virtualized environments is usually avoided due to their complexity. In this paper, we present an explicit performance modeling approach of I/O performance interference in virtualized environments with queueing Petri nets (QPNs). More specifically, we first highlight major challenges when modeling I/O performance in virtualized environments. Then, we create a single-VM I/O performance model calibrated with response time measurements to capture the complex behavior of a representative, real-world environment based on IBM System z and IBM DS8700 server hardware. Finally, we use the I/O performance model to evaluate the I/O performance when the workload is distributed heterogeneously on colocated virtual machines. Overall, we effectively create an I/O performance interference model capturing the I/O performance effects in a multi-VM environment with less than 10% prediction error on average.",1526-7539;2375-0227,978-1-4799-5610,10.1109/MASCOTS.2014.48,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7033670,I/O;Storage;Virtualization;Performance;Interference;Prediction;Modeling;Queueing Petri Net,Interference;Virtual machining;Computational modeling;Time measurement;Servers;Predictive models;Queueing analysis,calibration;performance evaluation;Petri nets;quality of service;queueing theory;resource allocation;virtual machines;virtualisation,I-O performance interference modeling;virtualized environments;virtualization technology;physical resource sharing;IT infrastructures;flexible system operation;quality-of-service;data-intensive applications;performance analysis techniques;QPN;queueing Petri nets;single-VM I-O performance model;response time measurements;IBM system;IBM DS8700 server hardware;co-located virtual machines;multiVM environment,,3,,25,,,,,,IEEE,IEEE Conferences
An Iterative Budget Algorithm for Dynamic Virtual Machine Consolidation under Cloud Computing Environment (revised December 2017),Y. Laili; F. Tao; F. Wang; L. Zhang; T. Lin,"School of automation science and electrical engineering, Beihang University, Beijing, Beijing China (e-mail: llyj0721@gmail.com); School of Automation Science and Electrical Engineering, Beijing University of Aeronautics and Astronautics, Beijing, Beijing China 100191 (e-mail: ftao@buaa.edu.cn); School of Automation Science and Electronic Engineering, Beihang University, 12633 Beijing, Beijing China 100191 (e-mail: wangfeitime@163.com); chool of Automation Science and Electrical Engineering, Beijing University of Aeronautics and Astronautics, Beijing, Beijing China (e-mail: zhanglin@buaa.edu.cn); Sate Key Laboratory of Intelligent Manufacturing System Technology, Beijing Institute of Electrical System Engineering, Beijing, Beijing China (e-mail: lintingyu2003@foxmail.com)",IEEE Transactions on Services Computing,,2018,PP,99,1,1,"Virtualization is a crucial technology of cloud computing to enable the flexible use of a significant amount of distributed computing services on a pay-as-you-go basis. As the service demand continuingly increases to a global scale, efficient virtual machine consolidation becomes more and more imperative. Existing heuristic algorithms targeted mostly at minimizing either the rate of service level agreement violations or the energy consumption of the cloud. However, the communication overhead among different virtual machines and the decision time of virtual machine consolidation are rarely considered. To reduce both the over-utilized nodes and the under-utilized nodes with the consideration of migration cost, communication overhead, and energy consumption, this paper presents a new iterative budget algorithm in which a budget heuristic and a multi-stage selection strategy are designed to find suitable migration objects and targets simultaneously. Experiments show that the proposed algorithm provides a substantial improvement over other typical heuristics and metaheuristic algorithms in reducing the energy consumption, the number of migrated virtual machines, the overall communication overhead, as well as the decision time.",1939-1374;2372-0204,,10.1109/TSC.2018.2793209,Beijing Nova Program; Natural Science Foundation of Beijing Municipality; National Natural Science Foundation of China; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8258952,Cloud computing;Virtual machine migration;iterative optimization;resource management,Heuristic algorithms;Cloud computing;Energy consumption;Algorithm design and analysis;Virtual machining;Iterative algorithms;Resource management,,,,1,,,,,,,,IEEE,IEEE Early Access Articles
Priority-aware VM Allocation and Network Bandwidth Provisioning in Software-Defined Networking (SDN)-enabled Clouds,J. Son; R. Buyya,"Computing and Information Systems, University of Melbourne, 2281 Melbourne, Victoria Australia 3010 (e-mail: jungmins@student.unimelb.edu.au); School of Computing and Information Systems, The University of Melbourne, Melbourne, Victoria Australia (e-mail: rbuyya@unimelb.edu.au)",IEEE Transactions on Sustainable Computing,,2018,PP,99,1,1,"In the multi-tenant architecture of cloud computing, different applications have different requirements and priorities. In the case of network congestion within a data center, failure of transferring data on time may cause a significant performance degradation of an application. It may result in a severe failure for a critical application that needs a certain level of QoS satisfaction, therefore, efficient resource provisioning techniques are vital to ensure transferring the high-priority data over the other traffics even in network congestion. In Software-Defined Networking (SDN)-enabled clouds, this is possible by reconfiguring network flows dynamically adapting to network traffics. In this paper, we propose priority-aware resource placement algorithms considering both host and network resources. Our priority-aware VM allocation (PAVA) algorithm places VMs of the high-priority application to closely connected hosts to reduce the chance of network congestion caused by other tenants. The required bandwidth of a critical application is also guaranteed by bandwidth allocation with a configuration of priority queues on each networking device in a data center network managed by SDN controller. Our experiment results show that the combination of proposed approaches can allocate sufficient resources for high-priority applications to meet the application&#x0027;s QoS requirement in a multi-tenant cloud data center.",2377-3782;2377-3790,,10.1109/TSUSC.2018.2842074,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8369147,Cloud computing;software-defined networking;resource management;energy efficiency,Quality of service;Cloud computing;Data centers;Bandwidth;Channel allocation;Resource management;Heuristic algorithms,,,,2,,,,,,,,IEEE,IEEE Early Access Articles
Load prediction algorithm for multi-tenant virtual machine environments,J. J. Prevost; K. Nagothu; B. Kelley; M. Jamshidi,"Electrical and Computer Engineering, The University of Texas at San Antonio, USA; Electrical and Computer Engineering, The University of Texas at San Antonio, USA; Electrical and Computer Engineering, The University of Texas at San Antonio, USA; Electrical and Computer Engineering, The University of Texas at San Antonio, USA",World Automation Congress 2012,,2012,,,1,6,"Computer systems configured in Cloud architectures have become more prevalent in the data center. However, a growing concern is the increasing amount of energy required to operate the data center. This has led to an industry-wide effort to look for ways the energy footprint of the datacenter can be reduced. Efficient scaling of the cloud's nodes is one way to manage the energy consumption. This goal is achieved through the application of energy optimization techniques. One of the techniques is to dynamically provision IT resources by switching the state of the cloud nodes from active to sleep and from sleep to active in response to the actual network load. To compensate for the potential impact of the time delay inherent in changing the state of a system, there is need to accurately predict the future load. The multi-tenant nature of cloud computing systems require that the load prediction takes into account that there can be multiple deployments of the same configured system over many different physical virtual and physical systems as well as that different services can be deployed in clusters across both virtual and physical systems. It is therefore important to predict the future network load per service-cluster. This paper presents an algorithm for predicting future request workload for multiple services then tests the algorithm using public NASA web server traffic data on four different services.",2154-4824;2154-4824,978-1-889334-47-9978-1-4673-4497-5978-1-889335-47,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6321254,cloud computing;load prediction;virtual machine,Quality of service;Time frequency analysis;Arrays,,,,2,,11,,,,,,IEEE,IEEE Conferences
Analysing Hadoop performance in a multi-user IaaS Cloud,J. Conejero; B. Caminero; C. Carrión,"Department of Computing Systems, University of Castilla-La Mancha, 02071, Albacete, Spain; Department of Computing Systems, University of Castilla-La Mancha, 02071, Albacete, Spain; Department of Computing Systems, University of Castilla-La Mancha, 02071, Albacete, Spain",2014 International Conference on High Performance Computing & Simulation (HPCS),,2014,,,399,406,"Over the last few years, Big Data analysis (i.e., crunching enormous amounts of data from different sources to extract useful knowledge for improving business objectives) has attracted huge attention from enterprises and research institutions. One of the most successful paradigms that has gained popularity in order to analyse this huge amount of data, is MapReduce (and particularly Hadoop, its open source implementation). However, Hadoop-based applications require massive amounts of resources in order to conduct different analysis of large amounts of data. This growing requirements that research and enterprises demand from the actual computing infrastructures empowers the Cloud computing utilization, where there is an increasing demand of Hadoop as a Service. Since Hadoop requires a distributed environment in order to operate, a significant problem is where resources are located. Focusing in Cloud environments, this problem lays mainly on the criteria for Virtual Machine (VM) placement. The work presented in this paper focuses on the analysis of performance, power consumption and resource usage by Hadoop applications when deploying Hadoop on Virtual Clusters (VCs) within a private IaaS Cloud. More precisely, the impact of different VM placement strategies on Hadoop-based application performance, power consumption and resource usage is measured. As a result, some conclusions on the optimal criteria for VM deployment are provided.",,978-1-4799-5313-4978-1-4799-5312-7978-1-4799-5311,10.1109/HPCSim.2014.6903713,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6903713,IaaS;Cloud;Big-Data;MapReduce;Hadoop;Deployment;Performance;Virtual Clusters;Quality of Service,Power demand;Resource management;Cloud computing;Sentiment analysis;Virtualization;Focusing;Virtual machining,Big Data;cloud computing;data analysis;parallel programming;resource allocation;virtual machines,Hadoop performance;multiuser IaaS cloud;infrastructure-as-a-service;Big Data analysis;MapReduce;Hadoop-based applications;cloud computing;Hadoop-as-a-service;virtual clusters;VM placement strategies;virtual machines;power consumption;resource usage,,2,,23,,,,,,IEEE,IEEE Conferences
Storage SLA Guarantee with Novel SSD I/O Scheduler in Virtualized Data Centers,H. Park; S. Yoo; C. Hong; C. Yoo,"College of Informatics, Korea University, Seoul, NA, Korea; Mobile Systems Engineering, Dankook University, Yongin shi, Kyunggi do, Korea; College of Informatics, Korea University, Seoul, NA, Korea; College of Informatics, Korea University, Seoul, NA, Korea",IEEE Transactions on Parallel and Distributed Systems,,2016,27,8,2422,2434,"Service level agreements (SLAs) for storage performance in virtualized systems are difficult to guarantee, because different consolidated virtual machines have their own performance requirements. Moreover, hard disk drives (HDDs) in virtualized systems are being replaced by solid-state drives (SSDs). SSDs have higher throughput and lower latency than HDDs; however, they pose new challenges in terms of SLAs. In this paper, we determine that existing I/O schedulers working with SSDs fail to guarantee SLAs among virtualmachines, and do not effectively utilize the high performance of SSDs. To address this issue, we propose the opportunistic I/O scheduler (OIOS), a novel I/O scheduler for SSDs. OIOS guarantees SLAs and fully utilizes the high performance of SSDs. To support realistic SLAs, OIOS provides diverse SLA support functions, including reservations, limitations, and proportional sharing. In addition, OIOS accepts SLAs that are specified in four measurement types: bandwidth, I/Os per second (IOPS), latency, and utilization. Experimental results show that OIOS increases the aggregated bandwidth of VMs by 80 percent compared to mClock, while achieving a similar level of fairness. In addition, we evaluate the proposed scheduler with realistic benchmarks, such as Filebench and the Yahoo CloudServing Benchmark. OIOS successfully guarantees the requirements of diverse SLAs with different metrics.",1045-9219;1558-2183;2161-9883,,10.1109/TPDS.2015.2493524,Institute for Information & communications Technology Promotion(IITP); Korea government; Korea University; National Research Foundation of Korea; Korean government; KREONET; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7303970,I/O scheduler;solid-state drives;storage system;virtualized environment;cloud computing,Bandwidth;Performance evaluation;Servers;Ash;Virtual machine monitors;Benchmark testing,cloud computing;computer centres;contracts;disc drives;performance evaluation;storage management;virtual machines,storage SLA guarantee;SSD I/O scheduler;virtualized data centers;service level agreements;storage performance;virtual machines;solid-state drives;OIOS;I/O per second;IOPS;aggregated bandwidth,,5,,33,,,,,,IEEE,IEEE Journals & Magazines
Storage Sharing Optimization under Constraints of SLO Compliance and Performance Variability,N. Li; H. Jiang; D. Feng; Z. Shi,"N. Li is with the School of Computer, Huazhong University of Science and Technology, Wuhan, China. H. Jiang is associated with the Department of Computer Science and Engineering, University of Texas at Arlington, USA.(email:leebellwind@hust.edu.cn); NA; NA; NA",IEEE Transactions on Services Computing,,2018,PP,99,1,1,"SLO enforcement with the required strong SLO compliance and the desired low level of performance variability is necessary to ensure QoS for user applications with precisely differentiated service levels. However, for the cloud consolidating a large number of VMs rented by users, it is a great challenge to formulate an IO capacity allocation among consolidated VMs under the user-customized QoS constraints of SLO compliance and performance fluctuation for consolidated VMs. To address this challenge, we propose SASLO, an end-to-end VM-oriented control framework that supports users in customizing SLO targets and QoS constraints for each VM. SASLO can dynamically coordinate the throughput target and IO size limit for each VM adapting to the status of SLO enforcement so as to maximize the IO capacity allocation among consolidated VMs under QoS constraints. To accurately enforce time-varying throughput target, SASLO establishes a proportional-integral IO controller for each individual VM to converge the actual throughput to the target with an expected settling time. Our extensive evaluation driven by representative benchmarks demonstrates that SASLO is able to formulate a satisfactory IO capacity allocation plan for consolidated VMs under the constraints of SLO compliance and performance variability.",1939-1374;2372-0204,,10.1109/TSC.2016.2584057,The National High Technology Research and Development Program of China 863 Program; The National Natural Science Foundation of China; US NSF; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7498602,Quality of Services;Service-Oriented Enterprise Management;Solution-Level QoS Framework,Resource management;Throughput;Cloud computing;Servers;Quality of service;Performance evaluation;Capacity planning,,,,,,,,,,,,IEEE,IEEE Early Access Articles
